NAME,Feci_LPS_CTRL_934_23022024,Feci_LPS_CTRL_935_23022024,Feci_LPS_CTRL_938_26022024,Feci_LPS_CTRL_940_26022024,Feci_LPS_CTRL_943_26022024,Feci_LPS-CTRL_941REP_01032024
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
10-Heptadecenoic acid,3.8898952913478864e-05,4.3071025123608185e-05,8.608358890077261e-06,3.2908986494800884e-05,3.68588820721443e-05,3.916438176610061e-06
3-Aminobutanoic acid,,6.854197017084353e-05,,,,
3-Hydroxypicolinic acid,2.6787585419746015e-05,2.621384154650823e-05,1.603110529073754e-05,2.080604252632017e-05,2.0930048338659614e-05,
4-Pentenoic acid,2.9092428362042667e-05,5.729262896742512e-05,7.094423427928123e-05,4.745906300508213e-05,5.9082902501027024e-05,1.1350290953525685e-05
Acetohydroxamic acid,9.107782903386053e-06,6.973314190749594e-06,7.975342044517285e-07,7.166386589034193e-06,5.393937924956675e-06,4.305619201828444e-06
Argininosuccinic acid,2.952892746175719e-05,,1.979564547759212e-05,,1.5680182502759232e-05,1.7390712391228288e-05
Butyl caprylate,6.854197017084353e-05,6.350101381470944e-05,,,1.757444474833436e-05,
Deoxyglucose,2.83600203602203e-05,5.383517191631775e-05,1.836056416543893e-06,1.0693917048042828e-07,1.0894776337191838e-05,
Dodecanedioic acid,,,,,,
Erythritol,5.6505639569651595e-05,4.8494158506114464e-05,5.383517191631775e-05,,4.3289659680156704e-05,4.190080426421048e-05
Ethanamine,9.901359718928036e-06,8.392569043058912e-06,3.978726080323576e-05,1.0514066459711718e-05,2.7860148254991692e-05,3.1952970029292075e-05
L-Asparagine,8.837618555691014e-06,8.027817364163943e-06,2.7857133842763493e-06,1.3084543348858826e-05,6.238935363090239e-06,
L-Glutamine,1.8648784226797527e-05,2.6443296428767492e-05,,2.406484066950307e-05,9.268868110722535e-06,
L-Hydroxyproline,2.4323677545534385e-05,3.1647344176765684e-05,1.6855473654435217e-05,5.6505639569651595e-05,2.626123301650961e-05,1.514970413027093e-05
L-Lysine,,8.355607329454319e-07,,3.272055131890429e-05,8.784195921187054e-06,
L-Norvaline,1.836056416543893e-06,1.9511628227902815e-05,2.3783645125629813e-06,6.238935363090239e-06,5.120879916819872e-06,7.932715454133417e-06
L-Serine,1.1761973782469904e-05,1.7390712391228288e-05,2.283836865138379e-05,2.3014179859151952e-05,2.283836865138379e-05,1.4518114604552437e-05
N-Acetylglucosamine,1.9730405206250328e-05,2.929367821373273e-05,2.4535257256643036e-05,3.255935803312797e-05,3.639191833267019e-05,1.1917979989316106e-05
Niacinamide,,1.478167612241706e-05,,2.952892746175719e-05,6.5438836421960575e-06,
N-Methyl-alpha-aminoisobutyric acid,3.3132118020880145e-06,,7.932715454133417e-06,4.9066704346016666e-05,,
Phloroglucinol,4.400464789217944e-05,3.7529811613002966e-05,2.541312102594124e-05,2.4323677545534385e-05,2.621384154650823e-05,8.027817364163943e-06
Thr-Leu,3.916438176610061e-06,,4.836203143128063e-06,4.0908209672588064e-05,7.166386589034193e-06,
Xanthine,8.608358890077261e-06,4.463384885273438e-06,4.305619201828444e-06,3.574596130795985e-06,4.662089489572254e-06,1.603110529073754e-05
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",,,,,,
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",2.4944204315232956e-05,,3.12718259383932e-05,2.5649715426609503e-05,4.0178073401525405e-05,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl",,,,,,
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",6.84637212882438e-06,5.9854742218891424e-06,4.400464789217944e-05,3.12718259383932e-05,2.83600203602203e-05,9.901359718928036e-06
1-(2-Methoxy-1-methylethoxy)-2-propanol,0.0001648008160644,0.0001247006424192,,,,
"1,1'-Biphenyl, 2,2',5,5'-tetramethyl",,,,,,
"1,2,4,5-Cyclohexanetetrol",4.190080426421048e-05,,,,6.350101381470944e-05,
"1,2,4-Butanetriol",,,,0.0001538954015143,,
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",,2.5522233466767726e-06,,,,
"1,4-Butanediol",,,,,,
"1,5-Anhydroglucitol",1.2851666336797695e-06,3.1562037456670997e-06,3.5360932439532874e-05,1.910563731616014e-05,1.8743380129594983e-05,6.7727348997407e-06
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",,,,,0.0004725347637259,
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,2.4840393181237777e-06,,,2.3783645125629813e-06,,1.121290687352542e-05
11-Methyldodecanol,3.2908986494800884e-05,3.101308615054718e-05,2.2395648107797876e-05,1.2016705068176969e-05,1.816004922937347e-05,3.5632149126455806e-05
12-Oxooctadecanoate,2.173879122112292e-05,1.4421832935193043e-05,4.8494158506114464e-05,5.401630854028379e-07,0.0001538954015143,
13-Docosenamide,3.921669419651076e-05,5.980927869482815e-07,3.2677213517781227e-06,2.2960613279423694e-06,,0.0001648008160644
17-alpha-Hydroxypregnenolone,0.0001247006424192,,,,,
18-Methyl-nonadecanol,,,,2.611088457072969e-05,,
1-Deoxypentitol,,,3.3132118020880145e-06,4.236009775902211e-05,,
1-Dodecanol,9.980623081251986e-06,9.107782903386053e-06,3.916438176610061e-06,2.7857133842763493e-06,4.305619201828444e-06,1.717122286859092e-05
1-Dodecene,,,0.0002482324990963,,,
1-Hexacosene,2.735531444564817e-05,3.2908986494800884e-05,1.9261792845315355e-05,2.4944204315232956e-05,2.952892746175719e-05,3.8898952913478864e-05
1-Hexadecanol,2.080604252632017e-05,2.6590830101793257e-05,1.1350290953525685e-05,9.075507640204865e-06,1.3670646908920618e-05,3.11542014918176e-05
1-Hexanol,,,5.729262896742512e-05,,3.272055131890429e-05,0.0001361039451122
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",1.3966068169517628e-05,1.7005674772614e-05,2.3014179859151952e-05,1.4128713087854016e-05,2.406484066950307e-05,
"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3alpha,4abeta,6aalpha,10abeta,10balpha)]-",,,,,,2.621384154650823e-05
1-Methyl-4-hydroxy-1H-imidazol-2-amine,2.6590830101793257e-05,,2.929367821373273e-05,3.1562037456670997e-06,3.7169703533636976e-05,4.8494158506114464e-05
1-Monomyristin,,,,,,
1-Monopalmitin,9.176438227712362e-05,0.0002184093386384,0.0001016357414059,,,
1-Octadecanol,4.117024359805238e-05,3.68588820721443e-05,5.1587561383687664e-05,2.6787585419746015e-05,4.559648209423825e-05,7.439637344532582e-05
1-Octanol,,,0.0002184093386384,,,
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",,,,,,
"1-Propanamine, N,N-diethyl-",2.7857133842763493e-06,3.574596130795985e-06,1.1406293571200671e-05,6.345107672537229e-06,1.536592651890115e-05,4.117024359805238e-05
1-Tetracosene,4.8494158506114464e-05,4.117024359805238e-05,2.6443296428767492e-05,4.117024359805238e-05,4.400464789217944e-05,3.226693997592153e-05
1-Tetradecanol,1.5023138006759788e-05,1.3139300277277377e-05,6.84637212882438e-06,,5.245461032053393e-06,2.2786821843590108e-05
"2',2,3,6'-Tetramethoxychalcone",,0.0001361039451122,0.0001648008160644,,,8.608358890077261e-06
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",2.1289514608228615e-05,2.2395648107797876e-05,1.8277450190145645e-05,9.980623081251986e-06,1.3777551865963964e-05,3.5904306679682945e-05
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",2.621384154650823e-05,1.6150478282736578e-06,6.854197017084353e-05,1.2851666336797695e-06,7.697062205434122e-06,6.0345631302352746e-05
"2,3,4-Trihydroxybutyric acid",4.662089489572254e-06,1.1108658858579164e-05,3.226693997592153e-05,2.83600203602203e-05,3.8445826984084885e-05,1.5770150150179934e-05
"2,3-Butanediol",8.280633464815508e-06,7.486126882586817e-06,3.534753816188769e-06,1.9383192840030995e-06,2.931807560232722e-06,7.697062205434122e-06
"2,3-Dihydroxy-2-methylpropanoic acid",3.12718259383932e-05,2.0930048338659614e-05,4.236009775902211e-05,6.5438836421960575e-06,7.55108067730924e-05,1.5087445303643446e-05
"2,3-Dihydroxypropyl icosanoate",,,,7.439637344532582e-05,,
"2,4,6-Tris(1,1-dimethylethyl)-4-methylcyclohexa-2,5-dien-1-one",,,,,,
"2,4-Di-tert-butylphenol",,,5.6505639569651595e-05,,,0.0004725347637259
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1.64960083791884e-05,2.1643036174431583e-05,3.4184008197819116e-06,9.268868110722535e-06,9.901359718928036e-06,5.1587561383687664e-05
"2,5-Dimethoxybenzhydrazide",2.2140108627121924e-05,1.9261792845315355e-05,9.107782903386053e-06,3.5904306679682945e-05,2.4944204315232956e-05,1.9261792845315355e-05
"2,5-Dimethoxymandelic acid",,,1.5087445303643446e-05,2.1834977799224203e-05,3.101308615054718e-05,2.037972573704721e-05
"2,5-Dimethoxyphenol",1.2128426444807096e-05,1.5680182502759232e-05,1.2265130421583652e-05,2.1143605220811348e-05,1.8648784226797527e-05,3.1647344176765684e-05
"2,5-Di-tert-butyl-4-hydroxyphenol",1.8277450190145645e-05,2.4944204315232956e-05,1.5023138006759788e-05,1.8484160585226223e-05,1.4864586454833725e-05,2.8126265711123824e-05
"2,6-Di-O-methyl-d-galactopyranose",7.439637344532582e-05,9.603791893972332e-06,2.65982170447041e-06,,4.8494158506114464e-05,7.817249984686151e-06
"2-Allyl-1,4-dimethoxybenzene ",1.9511628227902815e-05,2.1834977799224203e-05,1.939805458292396e-05,3.639191833267019e-05,3.178944502057086e-05,2.847141846008686e-05
2-Amino-4-tert-butylphenol,2.2583294684846227e-05,1.2072245970380529e-05,,,9.176438227712362e-05,2.735531444564817e-05
2-Aminoadipic acid,7.166386589034193e-06,7.932715454133417e-06,9.834354199581248e-06,7.31820055108666e-06,8.913241763224507e-06,9.107782903386053e-06
2-Aminobutanoic acid,,1.514970413027093e-05,1.254923252195022e-05,4.0178073401525405e-05,8.280633464815508e-06,
2-Butenedioic acid,4.989954409022189e-05,3.8898952913478864e-05,4.7146102173695454e-05,3.7529811613002966e-05,5.525347507631488e-05,2.9092428362042667e-05
"2-Butenoic acid, 2-hydroxy-",3.68588820721443e-05,3.178944502057086e-05,1.2128426444807096e-05,,,4.0908209672588064e-05
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",3.467651619542703e-05,2.626123301650961e-05,5.401630854028379e-07,1.954234271801049e-05,3.375311155399184e-05,6.350101381470944e-05
2'-Deoxyribolactone,8.355607329454319e-07,1.836056416543893e-06,,4.638662042987021e-07,1.6150478282736578e-06,4.149837448191821e-06
2'-Desoxyuridine,2.5522233466767726e-06,6.0356557680024845e-06,9.075507640204865e-06,3.68588820721443e-05,9.075507640204865e-06,6.5438836421960575e-06
2-Ethylacetoacetate,1.0261147424161163e-05,1.4128713087854016e-05,3.5904306679682945e-05,2.6590830101793257e-05,3.5632149126455806e-05,1.2265130421583652e-05
2-Ethylhexanoic acid,4.463384885273438e-06,8.608358890077261e-06,2.4840393181237777e-06,4.836203143128063e-06,3.1562037456670997e-06,
"2-Furanacetaldehyde, tetrahydro-alpha",,,,,,
2-Furoic acid,,,,,,
2-Hydroxy-2-methylbutyric acid,6.228605896149338e-05,5.2490809331960696e-05,,,1.6855473654435217e-05,
2-Hydroxy-3-methylbutyric acid,,,,,,0.0001016357414059
2-Hydroxy-5-methoxybenzaldehyde,2.5649715426609503e-05,2.41512614558997e-05,1.954234271801049e-05,1.979564547759212e-05,2.3176593250985774e-05,1.636421583195918e-05
2-Isopropyl-5-methyl-1-heptanol,4.3289659680156704e-05,1.38972320822724e-06,1.0693917048042828e-07,1.38972320822724e-06,1.4544582915854817e-06,1.3966068169517628e-05
2-Ketobutyric acid,4.0908209672588064e-05,3.639191833267019e-05,3.255935803312797e-05,2.4535257256643036e-05,3.5904306679682945e-05,7.094423427928123e-05
2-Ketohexanoic acid,,,,0.0002184093386384,,
"2-Methyl-4,6-dinitrophenol",,,,,,
2-Octanol,5.9082902501027024e-05,,6.602528415902421e-05,,,8.671316848159171e-05
2-Palmitoylglycerol,,,4.4698054493656187e-08,,,4.3071025123608185e-05
"2-Pentenedioic acid, 2-hydroxy-",1.530841212515444e-06,3.2677213517781227e-06,1.478167612241706e-05,6.973314190749594e-06,3.042036384063328e-06,4.583419628296123e-06
2-Pentenedioic acid,,,,9.107782903386053e-06,,2.3773058557190056e-05
2-Piperidinone,,,,1.232366241193844e-05,,
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1.6150478282736578e-06,2.931807560232722e-06,5.245461032053393e-06,1.816004922937347e-05,7.31820055108666e-06,
2-Pyrrolidinone,1.254923252195022e-05,1.3257876091019894e-05,1.2621640375920451e-05,2.144329071869341e-05,1.939805458292396e-05,1.3139300277277377e-05
2-tert-Butyl-4-ethylphenol ,3.639191833267019e-05,3.14905036478822e-05,2.553707235007485e-05,2.6443296428767492e-05,,
3-(3-Hydroxyphenyl)propanoic acid,1.5770150150179934e-05,4.190080426421048e-05,6.345107672537229e-06,5.980927869482815e-07,5.2490809331960696e-05,2.0930048338659614e-05
"3,3,5-Trimethylcyclohexan-1-ol",,,,,,
"3,4,5-Trihydroxypentanoic acid",,1.536592651890115e-05,3.8898952913478864e-05,,4.4778905346350206e-05,8.784195921187054e-06
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",1.4128713087854016e-05,1.3670646908920618e-05,2.0205229072842665e-05,2.466747331644314e-05,2.5077891059761747e-05,4.0178073401525405e-05
"3,4-Dihydroxy-5-methyl-dihydrofuran-2-one",0.0004725347637259,,,,,
"3,4-Dimethoxymandelic acid",5.356181458473537e-05,2.611088457072969e-05,3.68588820721443e-05,3.2150133015745745e-05,2.532296107365242e-05,1.1406293571200671e-05
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",3.8445826984084885e-05,,1.6450359872157634e-05,1.636421583195918e-05,1.954234271801049e-05,2.929367821373273e-05
"3,5-Dimethylphenol",6.602528415902421e-05,5.525347507631488e-05,,4.3071025123608185e-05,,
3-Amino-2-piperidone,1.4864586454833725e-05,,3.730631084829245e-06,1.887068240475639e-05,8.392569043058912e-06,
3-Aminoisobutyric acid,,,,,,
3-Buten-2-one,,,,,,
3-Deoxyhexitol,,8.837618555691014e-06,4.662089489572254e-06,5.393937924956675e-06,6.0356557680024845e-06,
"3-Ethyl-3-methyl-pyrrolidine-2,5-dione",1.4716248240761122e-05,1.3084543348858826e-05,1.8484160585226223e-05,1.0386845766700366e-05,2.6590830101793257e-05,1.4327388252791498e-05
3-Hexenedioic acid,1.8484160585226223e-05,1.2688530071147204e-05,5.9854742218891424e-06,3.809762550883029e-05,1.478167612241706e-05,1.887068240475639e-05
"3-Hydroxy-2,3-dihydromaltol",7.486126882586817e-06,1.0386845766700366e-05,4.989954409022189e-05,2.173879122112292e-05,8.671316848159171e-05,1.1761973782469904e-05
3-Hydroxybutyric acid,2.8126265711123824e-05,9.834354199581248e-06,1.5867786125519386e-05,3.0457762562984163e-05,1.0514066459711718e-05,1.536592651890115e-05
3-Hydroxyisovaleric acid,,2.0205229072842665e-05,3.272055131890429e-05,2.4883588265839864e-07,2.847141846008686e-05,
