ID,3297.0,3302.0,3307.0,3319.0,3329.0,3337.0,3353.0,3354.0,3369.0,3673.0,3674.0,3675.0,3677.0,3678.0,3679.0,3680.0,3681.0,3687.0,3688.0,29.0,3336.0,3371.0,3697.0
10-Heptadecenoic acid-Feci,,2.1495977798260634e-05,,1.3146498870419254e-07,,,3.4796576262333415e-05,1.5172850763961797e-05,1.3146498870419254e-07,4.345004654507616e-05,2.869457507807134e-05,1.0665728533051415e-05,3.059419164787951e-05,3.576797677898148e-05,3.059419164787951e-05,,,3.390145491397535e-05,3.18522214976345e-05,,,,
3-Aminobutanoic acid-Feci,5.940644450880551e-05,2.304591577534761e-05,,3.680674354561085e-05,2.2545498786391935e-05,,,,,,,,3.773422781433982e-05,,,3.2541480802974324e-05,,2.9897597847884973e-05,,,,,
3-Hydroxypicolinic acid-Feci,1.9986426685893328e-05,3.390145491397535e-05,,2.2545498786391935e-05,2.6879062833220023e-05,1.358575675930033e-05,2.2545498786391935e-05,,2.2545498786391935e-05,2.7592097431907495e-05,2.4839556875137356e-05,1.3190012123189894e-05,2.9259696673225892e-05,3.773422781433982e-05,2.206122410994635e-05,1.825126257942127e-05,2.32416102774216e-05,1.979374274563558e-05,1.4363782053803332e-05,,,,
4-Pentenoic acid-Feci,7.739159808239551e-06,3.576797677898148e-05,4.5543860543956285e-05,1.8862619276440532e-05,5.5536882704780605e-05,3.390145491397535e-05,2.0944208513152994e-05,1.185895803842346e-05,1.825126257942127e-05,7.112681932278526e-05,5.0013878547349586e-05,2.0666979472325727e-05,5.0013878547349586e-05,2.869457507807134e-05,3.390145491397535e-05,3.390145491397535e-05,3.18522214976345e-05,4.345004654507616e-05,4.012561288730162e-05,,,,
Acetohydroxamic acid-Feci,,1.9950227610256658e-06,2.2328191271527273e-06,1.6696406259132334e-06,7.053780821325238e-06,1.7822389905926072e-06,1.5242238489794084e-06,,2.4373025423558204e-06,3.2548715103668688e-06,2.2328191271527273e-06,1.9950227610256658e-06,3.708687676613752e-06,1.79827107792425e-05,5.148709247549425e-07,,4.989975540120855e-06,,6.27408295725197e-07,,,,
Argininosuccinic acid-Feci,1.3770475305366092e-05,9.213874226892582e-06,,,1.0435167259978e-05,1.2347078088056744e-05,,,,1.0913699317503476e-05,,1.4147287377574098e-05,,1.1347893720169177e-05,,1.0953974500899492e-05,8.843702351791274e-06,,9.575632659392894e-06,,,,
Butyl caprylate-Feci,1.3466760060806866e-05,7.411163384854275e-06,1.296183527434534e-05,,,2.7971670520343615e-05,2.7971670520343615e-05,1.110920651427007e-05,1.7062796515113937e-05,2.1291475120563603e-05,2.2306934121041924e-05,1.3355552836233331e-05,1.2480303729688104e-05,,,1.1612028479114978e-05,2.206122410994635e-05,,,,,,
Deoxyglucose-Feci,1.8862619276440532e-05,4.667820533428246e-06,4.667820533428246e-06,2.680847064643316e-06,,2.5503480585556884e-06,7.255294676253472e-06,,6.27408295725197e-07,,,,1.1413043010049007e-05,2.4373025423558204e-06,,6.838683640633865e-06,,7.620728118776205e-06,,,,,
Dodecanedioic acid-Feci,,,,,,,,,,,,,,,,,,,,,,,
